pop_cd,year,month,avg_score,avg_rat,city,sex,ages,population,num_opencard,num_usecard,monthly_card_spend,monthly_lc,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,loan_commitment,inst_rep_loanb,ls_rep_loanb,credit_loan,mortgage_loan,credit_card_payment,credit_card_installments_payment
L021,2017,6,768,4,인천,,10대,110000,1.73,1.1,230000,14660000,14020000,8940000,220000,1410000,60000,2410000,320000,8650000,4800000,10040000,19580000,6000,2000
L021,2017,7,769,4,인천,,10대,109000,1.73,1.11,210000,14900000,14330000,9040000,250000,1550000,40000,2490000,320000,9120000,4610000,9620000,20580000,6000,2000
L021,2017,8,769,4,인천,,10대,108000,1.73,1.11,210000,12120000,11640000,7130000,190000,1420000,170000,1930000,370000,7040000,3990000,9280000,13710000,7000,2000
L021,2017,9,769,4,인천,,10대,108000,1.72,1.12,220000,11090000,10600000,6240000,220000,1320000,160000,1890000,350000,6510000,3520000,8520000,11600000,7000,3000
L021,2017,10,770,4,인천,,10대,108000,1.7,1.12,220000,11860000,11170000,6290000,190000,1450000,170000,2160000,310000,6870000,3810000,8630000,12610000,6000,3000
L021,2017,11,771,4,인천,,10대,106000,1.7,1.12,210000,11750000,11080000,6050000,200000,1520000,380000,2020000,250000,7330000,3350000,7920000,13150000,6000,2000
L021,2017,12,772,4,인천,,10대,106000,1.68,1.11,210000,12360000,11290000,6110000,260000,1740000,600000,1830000,390000,7330000,3300000,7870000,13940000,6000,3000
L031,2016,1,810,2,대전,,10대,16000,1.3,1.05,60000,10110000,9780000,9780000,0,0,0,0,1380000,420000,7980000,0,9780000,0,0
L031,2016,2,767,4,대전,,10대,66000,1.65,0.91,150000,13640000,9880000,6830000,200000,650000,0,870000,520000,3430000,5700000,7350000,11650000,3000,1000
L031,2016,3,766,4,대전,,10대,68000,1.66,0.89,170000,12520000,10060000,6440000,260000,780000,0,1200000,530000,3740000,5510000,8030000,12190000,3000,1000
L031,2016,4,764,4,대전,,10대,73000,1.71,0.86,180000,11780000,9740000,6280000,200000,690000,220000,1430000,350000,3710000,5440000,8040000,11680000,3000,1000
L031,2016,5,765,4,대전,,10대,74000,1.69,0.87,150000,12070000,9710000,6550000,190000,850000,0,1580000,510000,3190000,5780000,8220000,11610000,3000,1000
L031,2016,6,765,4,대전,,10대,74000,1.69,0.89,170000,11230000,10390000,5980000,200000,1080000,950000,1750000,560000,4530000,5050000,8830000,12850000,4000,1000
L031,2016,7,766,4,대전,,10대,73000,1.7,0.91,160000,11900000,11000000,6350000,200000,1160000,970000,1880000,610000,5500000,4650000,9050000,13640000,3000,1000
L031,2016,8,766,4,대전,,10대,72000,1.69,0.92,150000,12110000,11150000,6540000,200000,1020000,910000,1970000,680000,5230000,4980000,9160000,14200000,3000,1000
L031,2016,9,767,4,대전,,10대,72000,1.68,0.93,170000,14580000,13370000,7040000,180000,1060000,920000,2080000,1070000,5670000,6290000,9210000,17490000,4000,1000
L031,2016,10,768,4,대전,,10대,71000,1.66,0.92,170000,13870000,12660000,6110000,190000,1050000,1060000,2260000,1030000,5630000,5680000,9080000,16570000,3000,1000
L031,2016,11,769,4,대전,,10대,70000,1.65,0.92,170000,11590000,10840000,5660000,110000,1100000,1040000,2190000,800000,5490000,4330000,9120000,13240000,3000,2000
L031,2016,12,770,4,대전,,10대,70000,1.63,0.9,160000,12760000,12010000,4970000,120000,840000,1020000,2870000,790000,5510000,5550000,8870000,15790000,3000,2000
L031,2017,1,770,4,대전,,10대,71000,1.61,0.89,170000,11330000,10660000,4750000,130000,1040000,910000,2810000,440000,5240000,4820000,8330000,13520000,3000,1000
L031,2017,2,768,4,대전,,10대,65000,1.72,0.96,170000,12520000,11850000,6090000,140000,1000000,710000,2910000,390000,6050000,5220000,8770000,15680000,4000,1000
L031,2017,3,767,4,대전,,10대,66000,1.73,0.96,190000,13150000,11780000,5790000,190000,1070000,740000,2800000,320000,5620000,5620000,9300000,14840000,3000,1000
L031,2017,4,767,4,대전,,10대,69000,1.79,0.93,200000,13050000,11730000,5580000,290000,1060000,700000,3010000,210000,5520000,5680000,9230000,15400000,3000,2000
L031,2017,5,767,4,대전,,10대,71000,1.77,0.94,170000,12690000,11470000,5970000,250000,1330000,80000,2740000,210000,5260000,5730000,9570000,14230000,3000,2000
L031,2017,6,768,4,대전,,10대,70000,1.77,0.96,200000,12790000,11520000,6200000,280000,1410000,80000,2450000,340000,5270000,5620000,9300000,14780000,4000,2000
L031,2017,7,769,4,대전,,10대,69000,1.77,0.97,180000,12350000,11000000,5720000,280000,1360000,80000,2380000,330000,5950000,4420000,10570000,13240000,4000,1000
L031,2017,8,769,4,대전,,10대,68000,1.77,0.98,180000,9230000,8300000,4430000,250000,1120000,60000,1760000,340000,4430000,3270000,10260000,8000000,4000,2000
L031,2017,9,769,4,대전,,10대,68000,1.77,0.98,190000,8590000,7710000,3860000,230000,950000,60000,2070000,340000,3970000,3150000,9720000,7300000,4000,2000
L031,2017,10,770,4,대전,,10대,68000,1.75,0.97,180000,8630000,7690000,3650000,190000,1230000,60000,2170000,320000,3790000,3350000,8860000,6860000,4000,2000
L031,2017,11,771,4,대전,,10대,67000,1.75,0.98,180000,8020000,7400000,4160000,210000,1260000,70000,1470000,270000,3760000,3140000,8300000,6520000,4000,2000
L031,2017,12,772,4,대전,,10대,67000,1.74,0.97,170000,9860000,9270000,5970000,180000,1570000,0,1330000,270000,6200000,2590000,8060000,10070000,4000,2000
L041,2016,1,809,2,대구,,10대,10000,1.33,1.08,70000,15100000,13350000,13350000,0,0,0,0,1380000,840000,11130000,0,13350000,0,0
L041,2016,2,766,4,대구,,10대,84000,1.71,0.98,160000,13800000,11680000,7830000,130000,1210000,40000,1640000,520000,3440000,7560000,8690000,13970000,3000,1000
L041,2016,3,765,4,대구,,10대,85000,1.75,0.99,180000,14760000,12610000,8440000,160000,1200000,90000,1640000,470000,3470000,8480000,9380000,14960000,3000,1000
L041,2016,4,765,4,대구,,10대,88000,1.77,0.98,200000,15440000,13150000,8160000,130000,1150000,70000,1790000,510000,2940000,9510000,10100000,15270000,3000,1000
L041,2016,5,765,4,대구,,10대,92000,1.75,0.95,160000,15530000,13400000,8430000,120000,1250000,270000,1930000,1410000,3180000,8610000,9780000,16190000,3000,1000
L041,2016,6,765,4,대구,,10대,92000,1.76,0.97,180000,13090000,12390000,7020000,150000,1280000,240000,1940000,870000,3300000,8000000,9510000,14360000,3000,1000
L041,2016,7,765,4,대구,,10대,91000,1.77,0.99,170000,13560000,12820000,7530000,170000,1490000,30000,2020000,890000,3890000,7820000,9460000,15440000,3000,1000
L041,2016,8,766,4,대구,,10대,90000,1.76,1,160000,12930000,11620000,6720000,180000,1300000,20000,2160000,600000,3700000,7080000,9510000,13160000,3000,1000
L041,2016,9,765,4,대구,,10대,89000,1.76,1.02,180000,14610000,12320000,6770000,180000,1410000,20000,2140000,930000,4420000,6720000,9790000,14200000,3000,2000
L041,2016,10,765,4,대구,,10대,98000,1.69,1.01,170000,13710000,11500000,6100000,150000,1430000,20000,2040000,1030000,4600000,5670000,9860000,12770000,3000,1000
L041,2016,11,766,4,대구,,10대,97000,1.67,1,160000,14100000,11870000,6430000,80000,1420000,20000,2110000,920000,5170000,5690000,9570000,13470000,3000,1000
L041,2016,12,767,4,대구,,10대,97000,1.66,0.99,170000,16390000,14520000,8440000,100000,1340000,350000,2410000,1020000,5170000,8210000,10160000,18450000,3000,1000
L041,2017,1,768,4,대구,,10대,98000,1.64,0.99,170000,16800000,15030000,6740000,110000,1410000,330000,2030000,820000,5330000,8740000,8970000,20980000,3000,1000
L041,2017,2,766,4,대구,,10대,92000,1.72,1.05,170000,40190000,38700000,33010000,100000,1150000,330000,1920000,820000,6150000,31550000,9010000,71410000,3000,1000
L041,2017,3,765,4,대구,,10대,95000,1.74,1.05,200000,39760000,38540000,32740000,120000,1010000,350000,1910000,740000,5390000,32220000,8250000,71430000,3000,1000
L041,2017,4,765,4,대구,,10대,101000,1.76,1.04,210000,16030000,14830000,8170000,100000,810000,390000,1900000,1420000,6170000,7110000,9840000,19980000,3000,2000
L041,2017,5,766,4,대구,,10대,102000,1.74,1.03,170000,12520000,12040000,7180000,100000,870000,960000,1940000,1460000,5420000,4980000,9350000,15540000,3000,2000
L041,2017,6,766,4,대구,,10대,101000,1.75,1.05,210000,12700000,12250000,8200000,120000,890000,560000,2080000,1270000,5560000,5280000,9090000,16040000,3000,2000
L041,2017,7,767,4,대구,,10대,101000,1.75,1.06,190000,13280000,12800000,7930000,130000,1070000,610000,2310000,1280000,5620000,5740000,9110000,17420000,3000,1000
L041,2017,8,767,4,대구,,10대,100000,1.75,1.07,180000,10630000,10240000,6100000,100000,930000,790000,2000000,1060000,4820000,4240000,9170000,11160000,3000,1000
L041,2017,9,767,4,대구,,10대,99000,1.75,1.08,190000,11180000,10770000,6660000,70000,920000,790000,1990000,970000,4910000,4820000,9120000,12020000,3000,2000
L041,2017,10,768,4,대구,,10대,98000,1.74,1.08,190000,11030000,10570000,6550000,110000,910000,410000,2230000,1110000,4380000,4970000,9330000,11770000,3000,1000
L041,2017,11,769,4,대구,,10대,96000,1.73,1.08,180000,10910000,10410000,6870000,90000,950000,0,2080000,1130000,4240000,4960000,9110000,11840000,3000,1000
L041,2017,12,770,4,대구,,10대,96000,1.72,1.07,180000,9050000,8430000,4640000,120000,920000,0,2080000,930000,4230000,3140000,8490000,8020000,3000,2000
L051,2016,1,809,2,광주,,10대,14000,1.3,1.07,70000,25970000,24970000,24770000,0,0,0,0,0,110000,24860000,890000,28410000,0,0
L051,2016,2,769,4,광주,,10대,71000,1.7,0.99,150000,15210000,13290000,5560000,320000,1450000,0,1540000,2030000,5580000,5160000,7830000,20050000,3000,1000
L051,2016,3,767,4,광주,,10대,72000,1.72,0.99,180000,15100000,13190000,5930000,340000,1210000,0,1480000,2380000,5290000,5050000,8320000,18330000,3000,1000
L051,2016,4,766,4,광주,,10대,75000,1.76,0.99,190000,16570000,13580000,6920000,220000,1330000,0,1690000,2520000,4210000,6560000,8530000,18870000,3000,1000
L051,2016,5,765,4,광주,,10대,76000,1.8,1.01,160000,15190000,13360000,6140000,220000,1550000,0,1790000,2290000,4120000,6660000,8880000,16630000,3000,1000
L051,2016,6,765,4,광주,,10대,76000,1.81,1.04,180000,14030000,13080000,6060000,150000,1490000,0,1860000,2380000,4950000,5590000,9090000,15840000,3000,1000
L051,2016,7,766,4,광주,,10대,75000,1.82,1.06,160000,13640000,13160000,6050000,100000,1590000,70000,1950000,2290000,5420000,5340000,9390000,16290000,3000,1000
L051,2016,8,766,4,광주,,10대,75000,1.82,1.07,160000,14090000,13390000,7040000,140000,1230000,80000,1960000,2230000,5160000,5820000,9290000,16790000,3000,1000
L051,2016,9,766,4,광주,,10대,74000,1.8,1.08,180000,13810000,13290000,6450000,160000,1080000,80000,2030000,1910000,4780000,6350000,8690000,17500000,3000,1000
L051,2016,10,768,4,광주,,10대,73000,1.78,1.07,180000,17030000,13570000,7070000,150000,990000,80000,2250000,1510000,4980000,6840000,9000000,18420000,3000,2000
L051,2016,11,770,4,광주,,10대,72000,1.75,1.06,170000,16840000,13290000,7810000,130000,800000,70000,2040000,800000,5370000,6900000,9080000,18310000,3000,2000
L051,2016,12,770,4,광주,,10대,72000,1.74,1.04,180000,15050000,12190000,7740000,100000,780000,70000,2290000,680000,5760000,5530000,10370000,15880000,3000,2000
L051,2017,1,771,4,광주,,10대,73000,1.72,1.03,180000,14520000,12180000,6880000,100000,1070000,70000,2510000,540000,5810000,5610000,10320000,15510000,3000,2000
L051,2017,2,770,4,광주,,10대,70000,1.79,1.08,170000,14680000,12690000,7600000,190000,1020000,10000,2870000,440000,5450000,6460000,10180000,18510000,3000,2000
L051,2017,3,769,4,광주,,10대,72000,1.78,1.08,200000,15200000,13230000,7560000,170000,920000,630000,2840000,200000,5880000,6890000,9500000,21540000,3000,1000
L051,2017,4,769,4,광주,,10대,74000,1.8,1.06,220000,15130000,13790000,6930000,270000,1340000,1480000,2760000,210000,6910000,6370000,8400000,23460000,3000,2000
L051,2017,5,769,4,광주,,10대,74000,1.81,1.07,190000,14510000,13220000,5620000,310000,1430000,1830000,3160000,280000,6380000,6220000,8600000,21810000,3000,2000
L051,2017,6,769,4,광주,,10대,73000,1.82,1.09,210000,13460000,12430000,5160000,240000,1060000,1680000,3210000,400000,5710000,6080000,8540000,19290000,3000,1000
L051,2017,7,770,4,광주,,10대,73000,1.83,1.1,190000,12830000,11760000,4660000,300000,1150000,1560000,3150000,570000,5230000,5700000,8580000,16710000,3000,1000
L051,2017,8,769,4,광주,,10대,72000,1.82,1.11,200000,11130000,10300000,4570000,240000,820000,1230000,2480000,590000,4780000,4730000,8590000,11620000,4000,2000
L051,2017,9,769,4,광주,,10대,72000,1.81,1.12,210000,11660000,10540000,4200000,250000,970000,1220000,2360000,510000,5290000,4540000,8440000,12410000,4000,2000
L051,2017,10,770,4,광주,,10대,71000,1.82,1.12,200000,11280000,10540000,3950000,230000,990000,1280000,2670000,270000,5720000,4370000,8500000,12580000,4000,2000
L051,2017,11,772,4,광주,,10대,70000,1.8,1.12,190000,13170000,12380000,3950000,130000,1000000,1280000,2550000,460000,6020000,5760000,7990000,17910000,4000,1000
L051,2017,12,773,4,광주,,10대,70000,1.79,1.11,190000,12160000,11490000,4870000,110000,1130000,630000,2390000,560000,6300000,4520000,8060000,15150000,3000,2000
L061,2016,1,807,2,부산,,10대,14000,1.46,1.12,70000,5460000,5410000,5390000,0,0,0,0,0,0,5410000,0,5410000,0,0
L061,2016,2,765,4,부산,,10대,126000,1.74,0.99,160000,8880000,8480000,5270000,230000,640000,80000,1720000,470000,3960000,3740000,7150000,9820000,6000,2000
L061,2016,3,764,4,부산,,10대,128000,1.75,0.99,180000,10680000,10380000,6810000,230000,900000,80000,1750000,540000,5080000,4450000,6810000,13830000,5000,2000
L061,2016,4,763,4,부산,,10대,131000,1.78,1,210000,10610000,10220000,6320000,250000,1050000,80000,1710000,470000,5250000,4200000,6960000,13440000,6000,2000
L061,2016,5,764,4,부산,,10대,130000,1.78,1,170000,10810000,10150000,5890000,240000,1410000,80000,1840000,440000,4970000,4440000,7010000,13290000,6000,2000
L061,2016,6,765,4,부산,,10대,129000,1.78,1.02,190000,10270000,9630000,5840000,250000,920000,90000,1880000,560000,4930000,3810000,7420000,12120000,6000,2000
L061,2016,7,765,4,부산,,10대,128000,1.78,1.03,180000,10690000,9920000,6070000,230000,840000,80000,2020000,410000,5300000,3920000,7540000,12440000,6000,2000
L061,2016,8,765,4,부산,,10대,127000,1.78,1.04,170000,10240000,9340000,5370000,240000,900000,80000,2190000,430000,4870000,3750000,7150000,11840000,6000,2000
L061,2016,9,766,4,부산,,10대,126000,1.77,1.05,190000,9620000,8980000,5260000,210000,700000,70000,2310000,450000,4780000,3530000,7050000,11120000,6000,2000
L061,2016,10,767,4,부산,,10대,125000,1.76,1.05,200000,9680000,9080000,5100000,180000,680000,70000,2530000,480000,4690000,3720000,7150000,10990000,6000,2000
L061,2016,11,769,4,부산,,10대,123000,1.74,1.05,190000,10920000,10120000,5370000,190000,580000,0,2970000,510000,4650000,4770000,8160000,11880000,6000,2000
L061,2016,12,769,4,부산,,10대,123000,1.72,1.04,190000,10680000,10060000,5010000,230000,680000,0,3210000,740000,3770000,5310000,8820000,11450000,6000,3000
L061,2017,1,770,4,부산,,10대,124000,1.69,1.02,190000,10580000,9820000,4470000,190000,500000,390000,3260000,700000,3830000,5100000,8620000,11380000,5000,2000
L061,2017,2,768,4,부산,,10대,114000,1.8,1.11,190000,9620000,8960000,3840000,290000,420000,210000,3450000,580000,2960000,5120000,8330000,9760000,5000,2000
L061,2017,3,767,4,부산,,10대,116000,1.8,1.1,220000,10190000,9530000,4320000,290000,450000,220000,3550000,540000,2970000,5720000,8650000,10790000,5000,2000
L061,2017,4,767,4,부산,,10대,120000,1.81,1.09,230000,10120000,9610000,4160000,230000,460000,20000,3610000,490000,3390000,5500000,8590000,10680000,5000,2000
L061,2017,5,768,4,부산,,10대,120000,1.82,1.09,200000,10030000,9520000,4280000,240000,540000,20000,3440000,470000,3410000,5430000,8590000,10400000,4000,2000
L061,2017,6,768,4,부산,,10대,119000,1.83,1.11,240000,11030000,10160000,4780000,200000,660000,300000,3350000,580000,3990000,5420000,8830000,11930000,5000,2000
L061,2017,7,769,4,부산,,10대,118000,1.83,1.12,210000,11620000,10770000,5450000,140000,710000,280000,3280000,700000,4400000,5540000,9030000,12970000,5000,2000
L061,2017,8,769,4,부산,,10대,117000,1.83,1.13,210000,8530000,8120000,3970000,100000,510000,230000,2580000,510000,3360000,4130000,8990000,7180000,5000,2000
L061,2017,9,768,4,부산,,10대,117000,1.83,1.14,220000,8060000,7640000,3720000,110000,520000,210000,2290000,500000,3360000,3650000,8740000,6550000,5000,2000
L061,2017,10,770,4,부산,,10대,115000,1.82,1.14,220000,7540000,7270000,3160000,120000,390000,230000,2780000,530000,3220000,3390000,8650000,5560000,5000,2000
L061,2017,11,771,4,부산,,10대,114000,1.81,1.14,210000,7550000,7200000,3290000,120000,500000,240000,2560000,460000,3480000,3120000,7740000,6080000,5000,2000
L061,2017,12,772,4,부산,,10대,113000,1.8,1.13,220000,7550000,7230000,3460000,120000,540000,230000,2490000,370000,3470000,3260000,7180000,6400000,5000,2000
L071,2016,1,813,2,울산,,10대,12000,1.2,1.04,70000,4790000,4790000,4790000,0,0,0,0,0,0,4790000,0,4790000,0,0
L071,2016,2,769,4,울산,,10대,46000,1.69,1.02,160000,12410000,11330000,3580000,170000,1590000,1090000,1570000,730000,4610000,5750000,8160000,14930000,2000,1000
L071,2016,3,767,4,울산,,10대,47000,1.75,1.03,180000,12330000,11340000,3980000,190000,1360000,1100000,1120000,740000,4090000,6150000,7360000,15360000,2000,1000
L071,2016,4,766,4,울산,,10대,48000,1.8,1.04,210000,15930000,15210000,4010000,150000,1330000,2960000,1390000,840000,7020000,7030000,7870000,22850000,3000,1000
L071,2016,5,766,4,울산,,10대,48000,1.8,1.06,180000,15610000,14880000,4490000,130000,1430000,1880000,1640000,620000,6270000,7850000,7990000,20930000,3000,1000
L071,2016,6,766,4,울산,,10대,47000,1.81,1.08,190000,16240000,14240000,4920000,130000,1480000,1730000,1760000,400000,6060000,7630000,7880000,20270000,4000,1000
L071,2016,7,766,4,울산,,10대,47000,1.8,1.09,180000,13730000,11720000,5170000,170000,1130000,460000,1700000,450000,3980000,7090000,7580000,15860000,3000,1000
L071,2016,8,766,4,울산,,10대,46000,1.8,1.11,170000,12070000,10490000,3830000,130000,1070000,440000,2120000,460000,4140000,5680000,7150000,13740000,3000,2000
L071,2016,9,767,4,울산,,10대,46000,1.79,1.11,180000,15520000,13550000,5220000,70000,1310000,1130000,2750000,770000,6890000,5770000,8000000,20720000,3000,1000
L071,2016,10,768,4,울산,,10대,46000,1.76,1.1,190000,14970000,14380000,5370000,90000,1070000,830000,3730000,1010000,6740000,6500000,8220000,22570000,4000,1000
L071,2016,11,769,4,울산,,10대,45000,1.73,1.09,180000,11490000,10860000,3260000,150000,960000,870000,3570000,630000,4900000,5150000,8290000,13720000,3000,1000
L071,2016,12,770,4,울산,,10대,45000,1.7,1.07,180000,16350000,15790000,7810000,120000,1360000,860000,2930000,940000,5530000,9190000,8620000,25130000,2000,1000
L071,2017,1,771,4,울산,,10대,45000,1.67,1.05,190000,17220000,16640000,10110000,210000,1440000,800000,2660000,1140000,3800000,11480000,8000000,28250000,3000,1000
L071,2017,2,769,4,울산,,10대,44000,1.69,1.08,180000,15050000,13330000,6820000,240000,1400000,970000,2470000,1620000,4260000,7210000,7630000,21520000,2000,1000
L071,2017,3,766,4,울산,,10대,46000,1.72,1.08,200000,15110000,13460000,7490000,250000,1630000,190000,2600000,1560000,4820000,6830000,8870000,19470000,2000,1000
L071,2017,4,765,4,울산,,10대,45000,1.77,1.11,240000,16190000,14470000,8270000,310000,1390000,810000,2540000,1730000,5110000,7320000,9690000,21470000,3000,1000
L071,2017,5,765,4,울산,,10대,45000,1.76,1.11,200000,17140000,15430000,7620000,230000,2500000,780000,2490000,2150000,5040000,8000000,11170000,21400000,2000,1000
L071,2017,6,766,4,울산,,10대,45000,1.76,1.12,220000,16060000,14390000,8170000,180000,1090000,420000,2720000,2160000,5080000,6960000,8540000,23060000,3000,1000
L071,2017,7,766,4,울산,,10대,44000,1.76,1.14,200000,14440000,12820000,5890000,190000,1130000,390000,2510000,1880000,6100000,4640000,8240000,19390000,2000,1000
